id,name,category
1,Chicken Alfredo,Pasta
2,Beef Stroganoff,Main Course
3,Grilled Cheese,Sandwich
4,Chocolate Cake,Dessert
5,Tomato Soup,Soup
6,Spaghetti Bolognese,Pasta
7,Chicken Caesar Salad,Salad
8,Pumpkin Pie,Dessert
9,Tuna Salad,Sandwich
10,Steak,Main Course
11,Mac and Cheese,Side Dish
12,Shrimp Scampi,Seafood
13,Chicken Fajitas,Mexican
14,Clam Chowder,Soup
15,Pesto Pasta Salad,Pasta
16,Chicken Noodle Soup,Soup
17,Beef Tacos,Mexican
18,Spinach and Artichoke Dip,Appetizer
19,Chicken Parmesan,Italian
20,Beef and Broccoli Stir Fry,Asian
